station name,distance_group,date_formatted,tripduration,trip_distance,count
1 Ave & E 44 St,0-1 km,07/2019,1380380,2400.5542631896033,2035
1 Ave & E 44 St,0-1 km,07/2020,1228341,1597.352549054046,1394
1 Ave & E 44 St,0-1 km,08/2019,1395975,2548.643308905081,2182
1 Ave & E 44 St,0-1 km,08/2020,1158335,1648.6536612416835,1476
1 Ave & E 44 St,2-3 km,06/2019,1559306,3658.43282045898,1291
1 Ave & E 44 St,2-3 km,06/2020,1720903,3587.275257637907,1228
1 Ave & E 44 St,2-3 km,07/2019,1831154,4180.777002760029,1481
1 Ave & E 44 St,2-3 km,07/2020,1540456,3669.473666650377,1258
1 Ave & E 44 St,2-3 km,08/2019,4016524,4215.793461384236,1496
1 Ave & E 44 St,2-3 km,08/2020,1580201,3613.5949454021356,1230
1 Ave & E 44 St,4-5 km,06/2019,720520,1715.9510939986174,355
1 Ave & E 44 St,4-5 km,06/2020,824004,1794.3840929778708,371
1 Ave & E 44 St,4-5 km,07/2019,609275,1693.9888642653048,351
1 Ave & E 44 St,4-5 km,07/2020,733329,2017.0243628791989,411
1 Ave & E 44 St,4-5 km,08/2019,707858,1876.736824585304,388
1 Ave & E 44 St,4-5 km,08/2020,694979,1784.5923730526465,370
1 Ave & E 44 St,6-7 km,06/2019,215373,511.5324859697945,79
1 Ave & E 44 St,6-7 km,06/2020,198890,480.68748001271706,73
1 Ave & E 44 St,6-7 km,07/2019,207331,613.6526863169153,95
1 Ave & E 44 St,6-7 km,07/2020,206943,591.9021226827283,90
1 Ave & E 44 St,6-7 km,08/2019,294334,599.1896002331714,92
1 Ave & E 44 St,6-7 km,08/2020,246184,678.0632873667568,104
1 Ave & E 44 St,8-9 km,06/2019,505930,75.95191217934726,9
1 Ave & E 44 St,8-9 km,06/2020,12372,50.259234987286135,6
1 Ave & E 44 St,8-9 km,07/2019,2445,8.05882713995753,1
1 Ave & E 44 St,8-9 km,07/2020,36775,109.66236537405804,13
1 Ave & E 44 St,8-9 km,08/2019,72582,25.799677731624765,3
1 Ave & E 44 St,8-9 km,08/2020,38890,133.93675805569734,16
1 Ave & E 44 St,10-11 km,06/2019,0,0.0,0
1 Ave & E 44 St,10-11 km,06/2020,0,0.0,0
1 Ave & E 44 St,10-11 km,07/2019,0,0.0,0
1 Ave & E 44 St,10-11 km,07/2020,0,0.0,0
1 Ave & E 44 St,10-11 km,08/2019,0,0.0,0
1 Ave & E 44 St,10-11 km,08/2020,0,0.0,0
1 Ave & E 44 St,12-13 km,06/2019,0,0.0,0
1 Ave & E 44 St,12-13 km,06/2020,0,0.0,0
1 Ave & E 44 St,12-13 km,07/2019,0,0.0,0
1 Ave & E 44 St,12-13 km,07/2020,0,0.0,0
1 Ave & E 44 St,12-13 km,08/2019,0,0.0,0
1 Ave & E 44 St,12-13 km,08/2020,0,0.0,0
1 Ave & E 5 St,0-1 km,06/2019,0,0.0,0
1 Ave & E 5 St,0-1 km,06/2020,2105640,2285.4362419854074,2396
