birth_year_group,duration_group,date_formatted,tripduration,trip_distance,count
1985-1994,720-1439 min,06/2020,248871421,591477.9419968335,236229
1985-1994,720-1439 min,07/2019,242158545,585627.31805471,238613
1985-1994,720-1439 min,07/2020,272443952,666212.0013284595,261750
1985-1994,720-1439 min,08/2019,269790717,653592.0275420962,265480
1985-1994,720-1439 min,08/2020,298852927,730743.7096961994,287944
1985-1994,1440-2159 min,06/2019,371487711,477527.44824710063,127426
1985-1994,1440-2159 min,06/2020,724774314,857357.5541960283,241622
1985-1994,1440-2159 min,07/2019,323550334,448377.3215408978,118964
1985-1994,1440-2159 min,07/2020,749707231,786313.1301473284,213150
1985-1994,1440-2159 min,08/2019,357074081,517398.7136582449,137433
1985-1994,1440-2159 min,08/2020,695517916,864032.5309549498,230240
1995-2004,0-719 min,06/2019,34380546,86565.31588603508,82270
1995-2004,0-719 min,06/2020,28260563,68979.4068491741,65956
1995-2004,0-719 min,07/2019,40202389,100961.09324083035,96103
1995-2004,0-719 min,07/2020,39485328,98533.317627293,92448
1995-2004,0-719 min,08/2019,44798511,112506.56504323464,106832
1995-2004,0-719 min,08/2020,50676145,126544.86900677899,118583
1995-2004,720-1439 min,06/2019,54639604,118353.72615892997,53168
1995-2004,720-1439 min,06/2020,73336271,157659.50640416626,69064
1995-2004,720-1439 min,07/2019,62431653,135221.805901213,60798
1995-2004,720-1439 min,07/2020,84279809,187984.54249037392,80416
1995-2004,720-1439 min,08/2019,70338999,152251.1727378509,68246
1995-2004,720-1439 min,08/2020,104143772,232364.42111692877,99766
1995-2004,1440-2159 min,06/2019,123962350,107132.70012556181,35839
1995-2004,1440-2159 min,06/2020,284250185,250145.2737445763,82598
1995-2004,1440-2159 min,07/2019,124561569,114992.98674654798,38994
1995-2004,1440-2159 min,07/2020,316796191,239929.68395095196,76487
1995-2004,1440-2159 min,08/2019,139213820,130846.12930340716,43623
1995-2004,1440-2159 min,08/2020,338815732,290904.2657119051,93937
